states,advantages
"[[[24, 16, 7, 4, 1], [23, 18, 23, 21, 17, 24], [18, 5, 17], [19, 14, 11, 9], [9, 5, 3, 3], [12], [23]], [[24, 18], [5, 23, 7], [18, 5, 17, 24, 23], [19, 21], [9, 23], [12, 17, 14, 4, 16], [9, 11, 3, 3, 1]], [[24], [5, 23, 7], [18, 5, 17, 24, 23, 18], [19, 21], [9, 23], [12, 17, 14, 4, 16], [9, 11, 3, 3, 1]], [[24, 16], [5, 23, 7], [18, 5, 17, 24, 23, 18], [19, 21], [9, 23], [12, 17, 14, 4], [9, 11, 3, 3, 1]], [[24, 16, 7], [5, 23], [18, 5, 17, 24, 23, 18], [19, 21], [9, 23], [12, 17, 14, 4], [9, 11, 3, 3, 1]], [[24, 16, 7, 4], [5, 23], [18, 5, 17, 24, 23, 18], [19, 21], [9, 23], [12, 17, 14], [9, 11, 3, 3, 1]], [[24, 16, 7, 4, 1], [5, 23], [18, 5, 17, 24, 23, 18], [19, 21], [9, 23], [12, 17, 14], [9, 11, 3, 3]], [[24, 16, 7, 4, 1], [5], [18, 5, 17, 24, 23, 18, 23], [19, 21], [9, 23], [12, 17, 14], [9, 11, 3, 3]], [[24, 16, 7, 4, 1], [], [18, 5, 17, 24, 23, 18, 23], [19, 21], [9, 23], [12, 17, 14], [9, 11, 3, 3, 5]], [[24, 16, 7, 4, 1], [23], [18, 5, 17, 24, 23, 18], [19, 21], [9, 23], [12, 17, 14], [9, 11, 3, 3, 5]], [[24, 16, 7, 4, 1], [23, 18], [18, 5, 17, 24, 23], [19, 21], [9, 23], [12, 17, 14], [9, 11, 3, 3, 5]], [[24, 16, 7, 4, 1], [23, 18, 23], [18, 5, 17, 24, 23], [19, 21], [9], [12, 17, 14], [9, 11, 3, 3, 5]], [[24, 16, 7, 4, 1], [23, 18, 23, 21], [18, 5, 17, 24, 23], [19], [9], [12, 17, 14], [9, 11, 3, 3, 5]], [[24, 16, 7, 4, 1], [23, 18, 23, 21], [18, 5, 17, 24, 23], [19], [9, 5], [12, 17, 14], [9, 11, 3, 3]], [[24, 16, 7, 4, 1], [23, 18, 23, 21], [18, 5, 17, 24, 23], [19], [9, 5, 3], [12, 17, 14], [9, 11, 3]], [[24, 16, 7, 4, 1], [23, 18, 23, 21], [18, 5, 17, 24, 23], [19], [9, 5, 3, 3], [12, 17, 14], [9, 11]], [[24, 16, 7, 4, 1], [23, 18, 23, 21], [18, 5, 17, 24, 23], [19, 14], [9, 5, 3, 3], [12, 17], [9, 11]], [[24, 16, 7, 4, 1], [23, 18, 23, 21], [18, 5, 17, 24, 23], [19, 14, 11], [9, 5, 3, 3], [12, 17], [9]], [[24, 16, 7, 4, 1], [23, 18, 23, 21, 17], [18, 5, 17, 24, 23], [19, 14, 11], [9, 5, 3, 3], [12], [9]], [[24, 16, 7, 4, 1], [23, 18, 23, 21, 17], [18, 5, 17, 24, 23], [19, 14, 11, 9], [9, 5, 3, 3], [12], []], [[24, 16, 7, 4, 1], [23, 18, 23, 21, 17], [18, 5, 17, 24], [19, 14, 11, 9], [9, 5, 3, 3], [12], [23]], [[24, 16, 7, 4, 1], [23, 18, 23, 21, 17, 24], [18, 5, 17], [19, 14, 11, 9], [9, 5, 3, 3], [12], [23]]]","[array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1])]"
"[[[8, 5, 16, 14, 13, 10], [14, 13], [6, 11], [18, 1], [11, 19, 11, 9, 9], [18, 16, 10, 17, 4], [12, 2]], [[5, 17, 8], [4, 9, 16], [6, 11, 19], [18, 1, 13, 10, 14, 11], [11, 13], [18, 16, 10], [12, 2, 9, 14]], [[5, 17], [4, 9, 16], [6, 11, 19, 8], [18, 1, 13, 10, 14, 11], [11, 13], [18, 16, 10], [12, 2, 9, 14]], [[5], [4, 9, 16], [6, 11, 19, 8], [18, 1, 13, 10, 14, 11], [11, 13], [18, 16, 10, 17], [12, 2, 9, 14]], [[], [4, 9, 16, 5], [6, 11, 19, 8], [18, 1, 13, 10, 14, 11], [11, 13], [18, 16, 10, 17], [12, 2, 9, 14]], [[], [4, 9, 16, 5], [6, 11, 19, 8], [18, 1, 13, 10, 14, 11], [11, 13], [18, 16, 10, 17], [12, 2, 9, 14]], [[8], [4, 9, 16, 5], [6, 11, 19], [18, 1, 13, 10, 14, 11], [11, 13], [18, 16, 10, 17], [12, 2, 9, 14]], [[8, 5], [4, 9, 16], [6, 11, 19], [18, 1, 13, 10, 14, 11], [11, 13], [18, 16, 10, 17], [12, 2, 9, 14]], [[8, 5, 16], [4, 9], [6, 11, 19], [18, 1, 13, 10, 14, 11], [11, 13], [18, 16, 10, 17], [12, 2, 9, 14]], [[8, 5, 16, 14], [4, 9], [6, 11, 19], [18, 1, 13, 10, 14, 11], [11, 13], [18, 16, 10, 17], [12, 2, 9]], [[8, 5, 16, 14, 13], [4, 9], [6, 11, 19], [18, 1, 13, 10, 14, 11], [11], [18, 16, 10, 17], [12, 2, 9]], [[8, 5, 16, 14, 13], [4, 9], [6, 11], [18, 1, 13, 10, 14, 11], [11, 19], [18, 16, 10, 17], [12, 2, 9]], [[8, 5, 16, 14, 13], [4, 9], [6, 11], [18, 1, 13, 10, 14], [11, 19, 11], [18, 16, 10, 17], [12, 2, 9]], [[8, 5, 16, 14, 13], [4], [6, 11], [18, 1, 13, 10, 14], [11, 19, 11, 9], [18, 16, 10, 17], [12, 2, 9]], [[8, 5, 16, 14, 13], [4], [6, 11], [18, 1, 13, 10, 14], [11, 19, 11, 9, 9], [18, 16, 10, 17], [12, 2]], [[8, 5, 16, 14, 13], [], [6, 11], [18, 1, 13, 10, 14], [11, 19, 11, 9, 9], [18, 16, 10, 17, 4], [12, 2]], [[8, 5, 16, 14, 13], [14], [6, 11], [18, 1, 13, 10], [11, 19, 11, 9, 9], [18, 16, 10, 17, 4], [12, 2]], [[8, 5, 16, 14, 13, 10], [14], [6, 11], [18, 1, 13], [11, 19, 11, 9, 9], [18, 16, 10, 17, 4], [12, 2]], [[8, 5, 16, 14, 13, 10], [14, 13], [6, 11], [18, 1], [11, 19, 11, 9, 9], [18, 16, 10, 17, 4], [12, 2]]]","[array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1])]"
"[[[23, 23, 9, 14], [12, 9, 19, 5], [20, 1, 8, 1], [23, 22, 22, 13, 12, 11, 24], [20], [9, 6, 3], [17]], [[24], [12, 14, 3, 13], [20, 1, 8, 19, 9], [23, 22, 23, 23], [5, 1, 11, 12, 22], [9, 6], [17, 20, 9]], [[], [12, 14, 3, 13], [20, 1, 8, 19, 9, 24], [23, 22, 23, 23], [5, 1, 11, 12, 22], [9, 6], [17, 20, 9]], [[23], [12, 14, 3, 13], [20, 1, 8, 19, 9, 24], [23, 22, 23], [5, 1, 11, 12, 22], [9, 6], [17, 20, 9]], [[23, 23], [12, 14, 3, 13], [20, 1, 8, 19, 9, 24], [23, 22], [5, 1, 11, 12, 22], [9, 6], [17, 20, 9]], [[23, 23], [12, 14, 3, 13], [20, 1, 8, 19, 9, 24], [23, 22, 22], [5, 1, 11, 12], [9, 6], [17, 20, 9]], [[23, 23], [12, 14, 3], [20, 1, 8, 19, 9, 24], [23, 22, 22, 13], [5, 1, 11, 12], [9, 6], [17, 20, 9]], [[23, 23], [12, 14, 3], [20, 1, 8, 19, 9, 24], [23, 22, 22, 13, 12], [5, 1, 11], [9, 6], [17, 20, 9]], [[23, 23], [12, 14, 3], [20, 1, 8, 19, 9, 24], [23, 22, 22, 13, 12, 11], [5, 1], [9, 6], [17, 20, 9]], [[23, 23], [12, 14, 3], [20, 1, 8, 19, 9], [23, 22, 22, 13, 12, 11, 24], [5, 1], [9, 6], [17, 20, 9]], [[23, 23], [12, 14], [20, 1, 8, 19, 9], [23, 22, 22, 13, 12, 11, 24], [5, 1], [9, 6, 3], [17, 20, 9]], [[23, 23, 9], [12, 14], [20, 1, 8, 19], [23, 22, 22, 13, 12, 11, 24], [5, 1], [9, 6, 3], [17, 20, 9]], [[23, 23, 9, 14], [12], [20, 1, 8, 19], [23, 22, 22, 13, 12, 11, 24], [5, 1], [9, 6, 3], [17, 20, 9]], [[23, 23, 9, 14], [12, 9], [20, 1, 8, 19], [23, 22, 22, 13, 12, 11, 24], [5, 1], [9, 6, 3], [17, 20]], [[23, 23, 9, 14], [12, 9, 19], [20, 1, 8], [23, 22, 22, 13, 12, 11, 24], [5, 1], [9, 6, 3], [17, 20]], [[23, 23, 9, 14], [12, 9, 19], [20, 1, 8, 1], [23, 22, 22, 13, 12, 11, 24], [5], [9, 6, 3], [17, 20]], [[23, 23, 9, 14], [12, 9, 19, 5], [20, 1, 8, 1], [23, 22, 22, 13, 12, 11, 24], [], [9, 6, 3], [17, 20]], [[23, 23, 9, 14], [12, 9, 19, 5], [20, 1, 8, 1], [23, 22, 22, 13, 12, 11, 24], [20], [9, 6, 3], [17]]]","[array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1])]"
"[[[18, 1], [21, 17, 3, 2, 18], [16, 17], [13, 12, 4], [9, 5, 4, 3], [19, 2, 17, 17, 18, 11], [14, 2]], [[18, 2], [21, 17, 3, 12], [16, 17, 2, 18, 14, 18], [13, 17, 17], [9, 5, 4], [4, 1, 3], [11, 2, 19]], [[18], [21, 17, 3, 12], [16, 17, 2, 18, 14, 18, 2], [13, 17, 17], [9, 5, 4], [4, 1, 3], [11, 2, 19]], [[18], [21, 17, 3, 12], [16, 17, 2, 18, 14, 18, 2], [13, 17, 17], [9, 5, 4, 3], [4, 1], [11, 2, 19]], [[18, 1], [21, 17, 3, 12], [16, 17, 2, 18, 14, 18, 2], [13, 17, 17], [9, 5, 4, 3], [4], [11, 2, 19]], [[18, 1, 4], [21, 17, 3, 12], [16, 17, 2, 18, 14, 18, 2], [13, 17, 17], [9, 5, 4, 3], [], [11, 2, 19]], [[18, 1, 4], [21, 17, 3, 12], [16, 17, 2, 18, 14, 18, 2], [13, 17, 17], [9, 5, 4, 3], [19], [11, 2]], [[18, 1, 4], [21, 17, 3, 12], [16, 17, 2, 18, 14, 18], [13, 17, 17], [9, 5, 4, 3], [19, 2], [11, 2]], [[18, 1, 4], [21, 17, 3, 12], [16, 17, 2, 18, 14, 18], [13, 17], [9, 5, 4, 3], [19, 2, 17], [11, 2]], [[18, 1, 4], [21, 17, 3, 12], [16, 17, 2, 18, 14, 18], [13], [9, 5, 4, 3], [19, 2, 17, 17], [11, 2]], [[18, 1, 4], [21, 17, 3], [16, 17, 2, 18, 14, 18], [13, 12], [9, 5, 4, 3], [19, 2, 17, 17], [11, 2]], [[18, 1, 4], [21, 17, 3], [16, 17, 2, 18, 14], [13, 12], [9, 5, 4, 3], [19, 2, 17, 17, 18], [11, 2]], [[18, 1], [21, 17, 3], [16, 17, 2, 18, 14], [13, 12, 4], [9, 5, 4, 3], [19, 2, 17, 17, 18], [11, 2]], [[18, 1], [21, 17, 3, 2], [16, 17, 2, 18, 14], [13, 12, 4], [9, 5, 4, 3], [19, 2, 17, 17, 18], [11]], [[18, 1], [21, 17, 3, 2], [16, 17, 2, 18, 14], [13, 12, 4], [9, 5, 4, 3], [19, 2, 17, 17, 18, 11], []], [[18, 1], [21, 17, 3, 2], [16, 17, 2, 18], [13, 12, 4], [9, 5, 4, 3], [19, 2, 17, 17, 18, 11], [14]], [[18, 1], [21, 17, 3, 2, 18], [16, 17, 2], [13, 12, 4], [9, 5, 4, 3], [19, 2, 17, 17, 18, 11], [14]], [[18, 1], [21, 17, 3, 2, 18], [16, 17], [13, 12, 4], [9, 5, 4, 3], [19, 2, 17, 17, 18, 11], [14, 2]]]","[array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1])]"
"[[[24, 17, 16, 9], [23, 8, 7], [22, 10, 11], [16, 16, 14, 22, 12, 13, 7], [12, 14], [17], [20, 14, 4, 1]], [[24, 17, 22], [23, 8, 16, 7], [22, 10, 11, 14, 9, 13], [16, 16], [12, 17, 14], [7, 1], [20, 14, 4, 12]], [[24, 17], [23, 8, 16, 7], [22, 10, 11, 14, 9, 13, 22], [16, 16], [12, 17, 14], [7, 1], [20, 14, 4, 12]], [[24, 17], [23, 8, 16, 7], [22, 10, 11, 14, 9, 13, 22], [16, 16, 14], [12, 17], [7, 1], [20, 14, 4, 12]], [[24, 17], [23, 8, 16, 7], [22, 10, 11, 14, 9, 13], [16, 16, 14, 22], [12, 17], [7, 1], [20, 14, 4, 12]], [[24, 17], [23, 8, 16, 7], [22, 10, 11, 14, 9, 13], [16, 16, 14, 22, 12], [12, 17], [7, 1], [20, 14, 4]], [[24, 17], [23, 8, 16, 7], [22, 10, 11, 14, 9], [16, 16, 14, 22, 12, 13], [12, 17], [7, 1], [20, 14, 4]], [[24, 17], [23, 8, 16], [22, 10, 11, 14, 9], [16, 16, 14, 22, 12, 13, 7], [12, 17], [7, 1], [20, 14, 4]], [[24, 17], [23, 8, 16], [22, 10, 11, 14, 9], [16, 16, 14, 22, 12, 13, 7], [12, 17], [7], [20, 14, 4, 1]], [[24, 17], [23, 8, 16], [22, 10, 11, 14, 9], [16, 16, 14, 22, 12, 13, 7], [12, 17], [], [20, 14, 4, 1, 7]], [[24], [23, 8, 16], [22, 10, 11, 14, 9], [16, 16, 14, 22, 12, 13, 7], [12, 17], [17], [20, 14, 4, 1, 7]], [[24, 17], [23, 8, 16], [22, 10, 11, 14, 9], [16, 16, 14, 22, 12, 13, 7], [12], [17], [20, 14, 4, 1, 7]], [[24, 17, 16], [23, 8], [22, 10, 11, 14, 9], [16, 16, 14, 22, 12, 13, 7], [12], [17], [20, 14, 4, 1, 7]], [[24, 17, 16], [23, 8, 7], [22, 10, 11, 14, 9], [16, 16, 14, 22, 12, 13, 7], [12], [17], [20, 14, 4, 1]], [[24, 17, 16, 9], [23, 8, 7], [22, 10, 11, 14], [16, 16, 14, 22, 12, 13, 7], [12], [17], [20, 14, 4, 1]], [[24, 17, 16, 9], [23, 8, 7], [22, 10, 11], [16, 16, 14, 22, 12, 13, 7], [12, 14], [17], [20, 14, 4, 1]]]","[array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1])]"
"[[[9, 8, 2, 1], [13, 12], [8, 14, 8], [22, 4, 19, 19, 20, 13], [24, 20], [5], [22, 15, 8, 6, 5, 5]], [[9, 6, 8, 8], [13, 12, 13, 1], [8, 14, 20, 4], [5, 22], [5, 8, 19], [5, 24, 20, 19, 2], [22, 15]], [[9, 6, 8], [13, 12, 13, 1], [8, 14, 20, 4, 8], [5, 22], [5, 8, 19], [5, 24, 20, 19, 2], [22, 15]], [[9, 6], [13, 12, 13, 1], [8, 14, 20, 4, 8], [5, 22], [5, 8, 19], [5, 24, 20, 19, 2], [22, 15, 8]], [[9], [13, 12, 13, 1], [8, 14, 20, 4, 8], [5, 22], [5, 8, 19], [5, 24, 20, 19, 2], [22, 15, 8, 6]], [[9, 8], [13, 12, 13, 1], [8, 14, 20, 4], [5, 22], [5, 8, 19], [5, 24, 20, 19, 2], [22, 15, 8, 6]], [[9, 8, 2], [13, 12, 13, 1], [8, 14, 20, 4], [5, 22], [5, 8, 19], [5, 24, 20, 19], [22, 15, 8, 6]], [[9, 8, 2, 1], [13, 12, 13], [8, 14, 20, 4], [5, 22], [5, 8, 19], [5, 24, 20, 19], [22, 15, 8, 6]], [[9, 8, 2, 1], [13, 12, 13], [8, 14, 20, 4, 22], [5], [5, 8, 19], [5, 24, 20, 19], [22, 15, 8, 6]], [[9, 8, 2, 1], [13, 12, 13], [8, 14, 20, 4, 22], [], [5, 8, 19], [5, 24, 20, 19], [22, 15, 8, 6, 5]], [[9, 8, 2, 1], [13, 12, 13], [8, 14, 20, 4], [22], [5, 8, 19], [5, 24, 20, 19], [22, 15, 8, 6, 5]], [[9, 8, 2, 1], [13, 12, 13], [8, 14, 20], [22, 4], [5, 8, 19], [5, 24, 20, 19], [22, 15, 8, 6, 5]], [[9, 8, 2, 1], [13, 12, 13], [8, 14, 20], [22, 4, 19], [5, 8], [5, 24, 20, 19], [22, 15, 8, 6, 5]], [[9, 8, 2, 1], [13, 12, 13], [8, 14, 20], [22, 4, 19, 19], [5, 8], [5, 24, 20], [22, 15, 8, 6, 5]], [[9, 8, 2, 1], [13, 12, 13], [8, 14], [22, 4, 19, 19, 20], [5, 8], [5, 24, 20], [22, 15, 8, 6, 5]], [[9, 8, 2, 1], [13, 12, 13], [8, 14, 8], [22, 4, 19, 19, 20], [5], [5, 24, 20], [22, 15, 8, 6, 5]], [[9, 8, 2, 1], [13, 12], [8, 14, 8], [22, 4, 19, 19, 20, 13], [5], [5, 24, 20], [22, 15, 8, 6, 5]], [[9, 8, 2, 1], [13, 12], [8, 14, 8], [22, 4, 19, 19, 20, 13], [], [5, 24, 20], [22, 15, 8, 6, 5, 5]], [[9, 8, 2, 1], [13, 12], [8, 14, 8], [22, 4, 19, 19, 20, 13], [20], [5, 24], [22, 15, 8, 6, 5, 5]], [[9, 8, 2, 1], [13, 12, 20], [8, 14, 8], [22, 4, 19, 19, 20, 13], [], [5, 24], [22, 15, 8, 6, 5, 5]], [[9, 8, 2, 1], [13, 12, 20], [8, 14, 8], [22, 4, 19, 19, 20, 13], [24], [5], [22, 15, 8, 6, 5, 5]], [[9, 8, 2, 1], [13, 12], [8, 14, 8], [22, 4, 19, 19, 20, 13], [24, 20], [5], [22, 15, 8, 6, 5, 5]]]","[array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1])]"
"[[[20, 11, 3, 8], [24, 23, 22, 22, 16, 6], [7, 4, 16], [2], [19, 8, 3, 1, 1], [15, 14, 14, 15], [3]], [[20, 11, 6], [22, 3], [7, 4, 16, 2, 8, 15], [1, 16, 14, 22], [19, 8, 3, 1, 24], [15, 14], [3, 23]], [[20, 11], [22, 3], [7, 4, 16, 2, 8, 15, 6], [1, 16, 14, 22], [19, 8, 3, 1, 24], [15, 14], [3, 23]], [[20, 11, 3], [22], [7, 4, 16, 2, 8, 15, 6], [1, 16, 14, 22], [19, 8, 3, 1, 24], [15, 14], [3, 23]], [[20, 11, 3], [], [7, 4, 16, 2, 8, 15, 6], [1, 16, 14, 22, 22], [19, 8, 3, 1, 24], [15, 14], [3, 23]], [[20, 11, 3], [24], [7, 4, 16, 2, 8, 15, 6], [1, 16, 14, 22, 22], [19, 8, 3, 1], [15, 14], [3, 23]], [[20, 11, 3], [24, 23], [7, 4, 16, 2, 8, 15, 6], [1, 16, 14, 22, 22], [19, 8, 3, 1], [15, 14], [3]], [[20, 11, 3], [24, 23, 22], [7, 4, 16, 2, 8, 15, 6], [1, 16, 14, 22], [19, 8, 3, 1], [15, 14], [3]], [[20, 11, 3], [24, 23, 22, 22], [7, 4, 16, 2, 8, 15, 6], [1, 16, 14], [19, 8, 3, 1], [15, 14], [3]], [[20, 11, 3], [24, 23, 22, 22], [7, 4, 16, 2, 8, 15, 6], [1, 16], [19, 8, 3, 1], [15, 14, 14], [3]], [[20, 11, 3], [24, 23, 22, 22, 16], [7, 4, 16, 2, 8, 15, 6], [1], [19, 8, 3, 1], [15, 14, 14], [3]], [[20, 11, 3], [24, 23, 22, 22, 16, 6], [7, 4, 16, 2, 8, 15], [1], [19, 8, 3, 1], [15, 14, 14], [3]], [[20, 11, 3], [24, 23, 22, 22, 16, 6], [7, 4, 16, 2, 8], [1], [19, 8, 3, 1], [15, 14, 14, 15], [3]], [[20, 11, 3, 8], [24, 23, 22, 22, 16, 6], [7, 4, 16, 2], [1], [19, 8, 3, 1], [15, 14, 14, 15], [3]], [[20, 11, 3, 8], [24, 23, 22, 22, 16, 6], [7, 4, 16, 2], [], [19, 8, 3, 1, 1], [15, 14, 14, 15], [3]], [[20, 11, 3, 8], [24, 23, 22, 22, 16, 6], [7, 4, 16], [2], [19, 8, 3, 1, 1], [15, 14, 14, 15], [3]]]","[array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1]), array([-1])]"
